# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationMaxMs,1717448994469000000,1717449038818000000,0.0
Indexes.stubs.lookupDurationMaxMs,1717448994469000000,1717449038818000000,0.0
Indexes.stubs.lookupDuration90PMs,1717448994469000000,1717449038818000000,0.0
Indexes.allKeys.lookups,1717448994469000000,1717449038818000000,0.0
Indexes.entries.lookupDurationMaxMs,1717448994469000000,1717449038818000000,0.0
Indexes.entries.lookups,1717448994469000000,1717449038818000000,0.0
Indexes.entries.lookupDuration90PMs,1717448994469000000,1717449038818000000,0.0
Indexes.allKeys.lookupDuration90PMs,1717448994469000000,1717449038818000000,0.0
Indexes.entries.lookupDurationAvgMs,1717448994469000000,1717449038818000000,0.0
Indexes.stubs.lookups,1717448994469000000,1717449038818000000,0.0
Indexes.stubs.lookupDurationAvgMs,1717448994469000000,1717449038818000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1717448994469000000,1717449038818000000,0.0
VFS.fileChildByName,1717448994469000000,1717449038818000000,25186
VFS.fileByIdCache.misses,1717448994469000000,1717449038818000000,270
VFS.fileByIdCache.hits,1717448994469000000,1717449038818000000,20
VFS.invertedFileNameIndex.requests,1717448994469000000,1717449038818000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactManagerBridge.commit.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1717448994469000000,1717449038818000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1717448994469000000,1717449038818000000,0
JVM.GC.collectionTimesMs,1717448994469000000,1717449038818000000,548
JVM.newThreadsCount,1717448994469000000,1717449038818000000,223
JVM.usedNativeBytes,1717448994469000000,1717449038818000000,379520848
JVM.maxHeapBytes,1717448994469000000,1717449038818000000,13128171520
OS.loadAverage,1717448994469000000,1717449038818000000,3.27
JVM.totalDirectByteBuffersBytes,1717448994469000000,1717449038818000000,46076096
JVM.threadCount,1717448994469000000,1717449038818000000,140
JVM.maxThreadCount,1717448994469000000,1717449038818000000,158
JVM.usedHeapBytes,1717448994469000000,1717449038818000000,486628120
JVM.totalCpuTimeMs,1717448994469000000,1717449038818000000,122500
JVM.totalBytesAllocated,1717448994469000000,1717449038818000000,3620789304
JVM.GC.collections,1717448994469000000,1717449038818000000,32
cacheStateStorage.get.duration,1717448994469000000,1717449038818000000,0
cacheStateStorage.set.counter,1717448994469000000,1717449038818000000,16
cacheStateStorage.set.duration,1717448994469000000,1717449038818000000,73
cacheStateStorage.get.counter,1717448994469000000,1717449038818000000,19
parser.JAVA.size.bytes,1717448994469000000,1717449038818000000,163
lexer.TypeScript.size.bytes,1717448994469000000,1717449038818000000,2538016
parser.XML.size.bytes,1717448994469000000,1717449038818000000,1335198
lexer.yaml.size.bytes,1717448994469000000,1717449038818000000,204
parser.JQuery-CSS.time.ns,1717448994469000000,1717449038818000000,6258537
parser.TypeScript.size.bytes,1717448994469000000,1717449038818000000,2538016
parser.Flow.JS.time.ns,1717448994469000000,1717449038818000000,176130270
parser.textmate.size.bytes,1717448994469000000,1717449038818000000,125393
parser.JavaScript.time.ns,1717448994469000000,1717449038818000000,167435157
lexer.XML.time.ns,1717448994469000000,1717449038818000000,76374815
lexer.HTML.time.ns,1717448994469000000,1717449038818000000,200453419
parser.TypeScript.time.ns,1717448994469000000,1717449038818000000,1972627373
parser.HTML.time.ns,1717448994469000000,1717449038818000000,188770182
lexer.CSS.time.ns,1717448994469000000,1717449038818000000,11254429
writeAction.median.wait.ms,1717448994469000000,1717449038818000000,0
parser.SCSS.time.ns,1717448994469000000,1717449038818000000,34682916
writeAction.wait.ms,1717448994469000000,1717449038818000000,12
parser.HTML.size.bytes,1717448994469000000,1717449038818000000,482272
parser.CSS.time.ns,1717448994469000000,1717449038818000000,119477208
lexer.JQuery-CSS.time.ns,1717448994469000000,1717449038818000000,847093
lexer.HTML.size.bytes,1717448994469000000,1717449038818000000,482272
parser.JSON.time.ns,1717448994469000000,1717449038818000000,111759395
lexer.textmate.size.bytes,1717448994469000000,1717449038818000000,125393
parser.XML.time.ns,1717448994469000000,1717449038818000000,340887149
lexer.textmate.time.ns,1717448994469000000,1717449038818000000,33249
parser.yaml.time.ns,1717448994469000000,1717449038818000000,2705796
lexer.Flow.JS.size.bytes,1717448994469000000,1717449038818000000,140172
lexer.SCSS.size.bytes,1717448994469000000,1717449038818000000,128330
parser.JSON.size.bytes,1717448994469000000,1717449038818000000,92294
parser.yaml.size.bytes,1717448994469000000,1717449038818000000,204
lexer.Flow.JS.time.ns,1717448994469000000,1717449038818000000,19635193
lexer.SCSS.time.ns,1717448994469000000,1717449038818000000,10643636
lexer.JQuery-CSS.size.bytes,1717448994469000000,1717449038818000000,1196
parser.JQuery-CSS.size.bytes,1717448994469000000,1717449038818000000,1196
parser.CSS.size.bytes,1717448994469000000,1717449038818000000,68517
lexer.JSON.time.ns,1717448994469000000,1717449038818000000,8859110
lexer.JSON.size.bytes,1717448994469000000,1717449038818000000,92294
lexer.JAVA.time.ns,1717448994469000000,1717449038818000000,211664
lexer.TypeScript.time.ns,1717448994469000000,1717449038818000000,177929990
lexer.yaml.time.ns,1717448994469000000,1717449038818000000,893475
parser.JavaScript.size.bytes,1717448994469000000,1717449038818000000,224865
parser.textmate.time.ns,1717448994469000000,1717449038818000000,263075
parser.SCSS.size.bytes,1717448994469000000,1717449038818000000,128330
writeAction.count,1717448994469000000,1717449038818000000,16
lexer.XML.size.bytes,1717448994469000000,1717449038818000000,1335198
parser.Flow.JS.size.bytes,1717448994469000000,1717449038818000000,140172
lexer.CSS.size.bytes,1717448994469000000,1717449038818000000,68517
parser.JAVA.time.ns,1717448994469000000,1717449038818000000,20707654
lexer.JAVA.size.bytes,1717448994469000000,1717449038818000000,163
writeAction.max.wait.ms,1717448994469000000,1717449038818000000,9
NonBlockingReadAction.finalizedExecutionsCount,1717448994469000000,1717449038818000000,541
NonBlockingReadAction.failedExecutionTimeUs,1717448994469000000,1717449038818000000,40939
AWTEventQueue.dispatchTimeTotalNS,1717448994469000000,1717449038818000000,3100381459
NonBlockingReadAction.failedExecutionsCount,1717448994469000000,1717449038818000000,1
NonBlockingReadAction.finalizedExecutionTimeUs,1717448994469000000,1717449038818000000,24274747
FilePageCacheLockFree.totalBytesRequested,1717448994469000000,1717449038818000000,0
DirectByteBufferAllocator.reclaimed,1717448994469000000,1717449038818000000,161
FilePageCacheLockFree.totalBytesWritten,1717448994469000000,1717449038818000000,0
FilePageCache.uncachedFileAccess,1717448994469000000,1717449038818000000,1106
FileChannelInterruptsRetryer.totalRetriedAttempts,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.heapBytesInUse,1717448994469000000,1717449038818000000,0
FilePageCache.pageLoads,1717448994469000000,1717449038818000000,485
FilePageCache.totalPageLoadsUs,1717448994469000000,1717449038818000000,2075088
FilePageCache.maxCacheSizeInBytes,1717448994469000000,1717449038818000000,502267904
FilePageCache.pageFastCacheHits,1717448994469000000,1717449038818000000,420655
FilePageCacheLockFree.totalHeapBytesAllocated,1717448994469000000,1717449038818000000,0
FilePageCache.totalPageDisposalsUs,1717448994469000000,1717449038818000000,5956
FilePageCache.maxRegisteredFiles,1717448994469000000,1717449038818000000,1116
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717448994469000000,1717449038818000000,41943040
FilePageCacheLockFree.housekeeperTurnsDone,1717448994469000000,1717449038818000000,0
FilePageCache.capacityInBytes,1717448994469000000,1717449038818000000,503316478
FilePageCacheLockFree.totalPagesReclaimed,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPagesWriteMs,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717448994469000000,1717449038818000000,0
DirectByteBufferAllocator.hits,1717448994469000000,1717449038818000000,121
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717448994469000000,1717449038818000000,41943040
FilePageCacheLockFree.totalPagesRequested,1717448994469000000,1717449038818000000,0
FilePageCache.disposedBuffers,1717448994469000000,1717449038818000000,601
DirectByteBufferAllocator.disposed,1717448994469000000,1717449038818000000,440
FilePageCacheLockFree.totalBytesRead,1717448994469000000,1717449038818000000,0
StorageLockContext.competingThreads.avg,1717448994469000000,1717449038818000000,0.0
FilePageCacheLockFree.totalNativeBytesAllocated,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPagesWritten,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717448994469000000,1717449038818000000,0
StorageLockContext.competingThreads.max,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPagesAllocated,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPagesReadMs,1717448994469000000,1717449038818000000,0
FilePageCache.pageHits,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1717448994469000000,1717449038818000000,0
StorageLockContext.competingThreads.90P,1717448994469000000,1717449038818000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717448994469000000,1717449038818000000,0
DirectByteBufferAllocator.misses,1717448994469000000,1717449038818000000,480
FilePageCacheLockFree.nativeBytesInUse,1717448994469000000,1717449038818000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1717448994469000000,1717449038818000000,116
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1717448994469000000,1717449038818000000,0
