# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPageAllocationsWaited,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalBytesWritten,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalPagesAllocated,1717449141450000000,1717449181332000000,0
DirectByteBufferAllocator.disposed,1717449141450000000,1717449181332000000,440
DirectByteBufferAllocator.misses,1717449141450000000,1717449181332000000,480
FilePageCacheLockFree.nativeBytesInUse,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1717449141450000000,1717449181332000000,0
FilePageCache.totalPageLoadsUs,1717449141450000000,1717449181332000000,2174068
FilePageCacheLockFree.totalPagesWritten,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalBytesRequested,1717449141450000000,1717449181332000000,0
FilePageCache.pageHits,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1717449141450000000,1717449181332000000,0
DirectByteBufferAllocator.hits,1717449141450000000,1717449181332000000,21
FileChannelInterruptsRetryer.totalRetriedAttempts,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1717449141450000000,1717449181332000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1717449141450000000,1717449181332000000,19
FilePageCache.totalPageDisposalsUs,1717449141450000000,1717449181332000000,4583
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717449141450000000,1717449181332000000,41943040
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalBytesRead,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1717449141450000000,1717449181332000000,0
FilePageCache.pageLoads,1717449141450000000,1717449181332000000,482
FilePageCache.disposedBuffers,1717449141450000000,1717449181332000000,501
FilePageCache.maxRegisteredFiles,1717449141450000000,1717449181332000000,1116
FilePageCacheLockFree.housekeeperTurnsDone,1717449141450000000,1717449181332000000,0
FilePageCache.pageFastCacheHits,1717449141450000000,1717449181332000000,228903
FilePageCache.capacityInBytes,1717449141450000000,1717449181332000000,503316478
StorageLockContext.competingThreads.avg,1717449141450000000,1717449181332000000,0.6233766233766234
StorageLockContext.competingThreads.90P,1717449141450000000,1717449181332000000,1
DirectByteBufferAllocator.reclaimed,1717449141450000000,1717449181332000000,61
FilePageCache.maxCacheSizeInBytes,1717449141450000000,1717449181332000000,502267904
StorageLockContext.competingThreads.max,1717449141450000000,1717449181332000000,8
FilePageCacheLockFree.totalNativeBytesReclaimed,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalPagesReclaimed,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.heapBytesInUse,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717449141450000000,1717449181332000000,0
FilePageCacheLockFree.totalPagesReadMs,1717449141450000000,1717449181332000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717449141450000000,1717449181332000000,41943040
cacheStateStorage.set.counter,1717449141450000000,1717449181332000000,16
cacheStateStorage.get.counter,1717449141450000000,1717449181332000000,19
cacheStateStorage.get.duration,1717449141450000000,1717449181332000000,1
cacheStateStorage.set.duration,1717449141450000000,1717449181332000000,120
parser.ECMAScript.6.size.bytes,1717449141450000000,1717449181332000000,963038
parser.CSS.size.bytes,1717449141450000000,1717449181332000000,957760
lexer.JQuery-CSS.size.bytes,1717449141450000000,1717449181332000000,1196
lexer.ECMAScript.6.size.bytes,1717449141450000000,1717449181332000000,963038
lexer.HTML.size.bytes,1717449141450000000,1717449181332000000,430959
parser.XML.time.ns,1717449141450000000,1717449181332000000,592096870
lexer.JSON.size.bytes,1717449141450000000,1717449181332000000,1812210
lexer.JSON.time.ns,1717449141450000000,1717449181332000000,75793570
parser.yaml.time.ns,1717449141450000000,1717449181332000000,2390357
lexer.textmate.time.ns,1717449141450000000,1717449181332000000,55318
parser.textmate.time.ns,1717449141450000000,1717449181332000000,1334017
parser.JQuery-CSS.size.bytes,1717449141450000000,1717449181332000000,1196
parser.XML.size.bytes,1717449141450000000,1717449181332000000,1489089
lexer.textmate.size.bytes,1717449141450000000,1717449181332000000,211931
parser.JSON.size.bytes,1717449141450000000,1717449181332000000,1812210
lexer.JQuery-CSS.time.ns,1717449141450000000,1717449181332000000,489108
parser.JavaScript.time.ns,1717449141450000000,1717449181332000000,1231710205
writeAction.count,1717449141450000000,1717449181332000000,15
parser.yaml.size.bytes,1717449141450000000,1717449181332000000,255
lexer.yaml.time.ns,1717449141450000000,1717449181332000000,943142
lexer.CSS.time.ns,1717449141450000000,1717449181332000000,174563764
lexer.XML.time.ns,1717449141450000000,1717449181332000000,162958150
lexer.ECMAScript.6.time.ns,1717449141450000000,1717449181332000000,260755570
parser.JavaScript.size.bytes,1717449141450000000,1717449181332000000,2951232
writeAction.wait.ms,1717449141450000000,1717449181332000000,14
parser.JAVA.size.bytes,1717449141450000000,1717449181332000000,163
parser.textmate.size.bytes,1717449141450000000,1717449181332000000,211931
lexer.JAVA.size.bytes,1717449141450000000,1717449181332000000,163
parser.ECMAScript.6.time.ns,1717449141450000000,1717449181332000000,19218749
lexer.XML.size.bytes,1717449141450000000,1717449181332000000,1489089
lexer.JAVA.time.ns,1717449141450000000,1717449181332000000,159491
parser.JSON.time.ns,1717449141450000000,1717449181332000000,973609150
parser.HTML.size.bytes,1717449141450000000,1717449181332000000,430959
lexer.HTML.time.ns,1717449141450000000,1717449181332000000,308713895
parser.JQuery-CSS.time.ns,1717449141450000000,1717449181332000000,4567511
writeAction.max.wait.ms,1717449141450000000,1717449181332000000,10
parser.JAVA.time.ns,1717449141450000000,1717449181332000000,21105867
lexer.CSS.size.bytes,1717449141450000000,1717449181332000000,957760
parser.CSS.time.ns,1717449141450000000,1717449181332000000,807128465
lexer.yaml.size.bytes,1717449141450000000,1717449181332000000,255
parser.HTML.time.ns,1717449141450000000,1717449181332000000,351925405
